"Variables ->","i","i_star","D4L_cpi","D4L_ner","D4L_MB","D4L_REM","D4L_pet","gdp_gap_star","gdp_gap"
"Comments ->","","","","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2004M04",1.92000000e+00,1.03000000e+00,6.44177460e+00,1.75443097e+00,2.56251461e+00,1.19070629e+01,2.65863740e+01,7.46099708e-01,-1.32227904e+00
"2004M05",2.10000000e+00,1.02000000e+00,7.01374992e+00,1.00756520e+00,8.57587264e+00,1.17664447e+01,3.59656366e+01,7.97542318e-01,-1.65628822e+00
"2004M06",2.26000000e+00,1.38000000e+00,7.14359078e+00,2.52206943e-01,8.10354114e+00,2.72552719e+01,2.15213573e+01,7.52263968e-01,-1.32374205e-01
"2004M07",2.72000000e+00,1.29000000e+00,7.35779374e+00,-2.52844635e-01,6.79259351e-01,7.32891847e+00,2.82107253e+01,7.09594324e-01,5.66114883e-02
"2004M08",2.41000000e+00,1.55000000e+00,7.37694754e+00,-1.26342405e-01,1.00028827e+01,1.73525767e+01,3.52180693e+01,6.41444754e-01,4.13437036e-01
"2004M09",2.08000000e+00,1.94000000e+00,7.73901861e+00,-1.00756520e+00,1.36372301e+01,1.81755145e+01,4.83977344e+01,7.03455293e-01,1.41667029e-01
"2004M10",2.07000000e+00,1.79000000e+00,8.28539391e+00,-3.39015517e+00,5.27272138e+00,1.37997445e+01,5.63160313e+01,7.03560942e-01,5.44199740e-02
"2004M11",2.43000000e+00,2.02000000e+00,8.82209511e+00,-3.91217082e+00,6.15392727e+00,3.11192452e+01,4.43448682e+01,7.26131620e-01,2.67363546e-01
"2004M12",2.68000000e+00,1.97000000e+00,8.82546892e+00,-3.16281898e+00,1.12867016e+01,1.68076057e+01,2.94910851e+01,6.26964630e-01,9.26803119e-01
"2005M01",2.55000000e+00,2.50000000e+00,8.65358769e+00,-4.41155339e+00,6.91016747e+00,7.32638270e+00,3.11236632e+01,5.87246870e-01,-6.43020010e-01
"2005M02",2.61000000e+00,2.52000000e+00,8.65127679e+00,-4.80496976e+00,1.10877364e+01,1.03835129e+01,3.27999547e+01,5.50914355e-01,6.45479359e-01
"2005M03",2.75000000e+00,2.96000000e+00,8.40307488e+00,-6.10876920e+00,1.01456927e+01,7.84550572e+00,3.88536091e+01,6.21906265e-01,-1.45786934e-01
"2005M04",2.75000000e+00,2.97000000e+00,8.50533104e+00,-5.62089196e+00,1.08814335e+01,2.15664674e+01,3.65758282e+01,6.37027097e-01,9.03782996e-01
"2005M05",2.82954545e+00,3.09000000e+00,8.17959775e+00,-5.01068201e+00,1.29175870e+01,2.63312581e+01,2.12962731e+01,6.48279118e-01,1.00688922e+00
"2005M06",3.00000000e+00,3.35000000e+00,8.43491589e+00,-4.24501034e+00,1.22781190e+01,2.07845614e+01,3.93372472e+01,7.08968981e-01,-6.34442334e-01
"2005M07",3.05952381e+00,3.31000000e+00,8.89326567e+00,-4.00311681e+00,1.76605106e+01,1.73733640e+01,3.69316114e+01,7.60882837e-01,-1.08277324e+00
"2005M08",3.33695652e+00,3.63000000e+00,8.96011280e+00,-4.12961904e+00,8.53604998e+00,1.28171660e+01,3.69651162e+01,8.25029176e-01,-1.51113351e+00
"2005M09",3.61363636e+00,3.93000000e+00,9.02686570e+00,-3.60863898e+00,1.09437623e+01,1.31641033e+01,3.56129520e+01,7.86942640e-01,-1.36308447e+00
