"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2005M07",3.05952381e+00,3.31000000e+00,8.89326567e+00,2.09291377e+00,-1.08277324e+00,7.60882837e-01
"2005M08",3.33695652e+00,3.63000000e+00,8.96011280e+00,2.13589853e+00,-1.51113351e+00,8.25029176e-01
"2005M09",3.61363636e+00,3.93000000e+00,9.02686570e+00,2.16955916e+00,-1.36308447e+00,7.86942640e-01
"2005M10",3.75000000e+00,4.02000000e+00,9.79278020e+00,2.23994490e+00,-4.05365787e+00,8.01640710e-01
"2005M11",3.84090909e+00,4.03000000e+00,8.84502531e+00,2.27984343e+00,-2.70142888e+00,7.95972264e-01
"2005M12",4.11363636e+00,4.09000000e+00,8.21948569e+00,2.25525808e+00,1.30972032e+00,8.63444994e-01
"2006M01",4.25000000e+00,4.47000000e+00,7.77330873e+00,2.11985136e+00,-2.55897278e-01,9.06466680e-01
"2006M02",4.25000000e+00,4.52000000e+00,7.01187097e+00,2.11517760e+00,1.33415995e-01,8.59193735e-01
"2006M03",4.25000000e+00,5.00000000e+00,7.02782965e+00,2.14476348e+00,2.87104431e+00,9.45412923e-01
"2006M04",4.27500000e+00,4.86000000e+00,7.21422985e+00,2.33471760e+00,-2.24835888e+00,8.77156793e-01
"2006M05",4.50000000e+00,5.05000000e+00,7.34032597e+00,2.38001751e+00,1.33655553e+00,9.55153344e-01
"2006M06",4.57954545e+00,5.05000000e+00,7.28095428e+00,2.56266956e+00,3.48051486e+00,9.30420968e-01
"2006M07",4.78571429e+00,5.31000000e+00,6.79909999e+00,2.51389076e+00,3.26339621e+00,8.29335851e-01
"2006M08",5.00000000e+00,5.31000000e+00,6.76223599e+00,2.63629433e+00,1.36979909e+00,7.29218516e-01
"2006M09",5.00000000e+00,5.34000000e+00,5.54184807e+00,2.57262778e+00,3.48737605e+00,6.65412679e-01
"2006M10",5.00000000e+00,5.31000000e+00,3.78014769e+00,2.46625160e+00,2.38959255e+00,5.83621021e-01
"2006M11",5.00000000e+00,5.31000000e+00,4.30695014e+00,2.25852035e+00,4.52342643e-01,3.53052779e-01
"2006M12",5.00000000e+00,5.17000000e+00,5.63095854e+00,2.28919845e+00,3.53498083e+00,4.66490384e-01
"2007M01",5.00000000e+00,5.33000000e+00,6.03839729e+00,2.46970128e+00,3.19631938e+00,3.71026531e-01
"2007M02",5.00000000e+00,5.41000000e+00,6.41164802e+00,2.52433567e+00,2.39699277e+00,4.41999497e-01
"2007M03",5.02272727e+00,5.30000000e+00,6.78837849e+00,2.34917876e+00,4.54427677e+00,5.90069768e-01
"2007M04",5.28571429e+00,5.29000000e+00,6.20490559e+00,2.18688607e+00,-2.32935462e-01,4.86570137e-01
"2007M05",5.50000000e+00,5.28000000e+00,5.32113145e+00,2.05439452e+00,1.71543483e+00,4.92598886e-01
"2007M06",5.50000000e+00,5.31000000e+00,5.17686436e+00,1.96777792e+00,2.55970370e+00,3.73608199e-01
"2007M07",5.50000000e+00,5.28000000e+00,5.43633107e+00,2.02055554e+00,2.12260065e+00,3.14992412e-01
"2007M08",5.50000000e+00,4.96000000e+00,6.02364259e+00,1.96540016e+00,1.41857520e+00,1.55718555e-01
"2007M09",5.52500000e+00,4.58000000e+00,7.07530277e+00,2.08053186e+00,4.14384366e-01,7.52052542e-02
"2007M10",5.75000000e+00,4.60000000e+00,7.43397949e+00,2.16001206e+00,-7.15820286e-01,-3.44558555e-02
