"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2019M06",2.75000000e+00,2.40000000e+00,4.68835859e+00,1.64340316e+00,1.57718418e+00,9.73730262e-01
"2019M07",2.75000000e+00,2.40000000e+00,4.27687254e+00,1.62583072e+00,1.54089085e+00,8.41765915e-01
"2019M08",2.75000000e+00,2.13000000e+00,2.96843630e+00,1.73074049e+00,1.33109335e+00,7.53327037e-01
"2019M09",2.75000000e+00,1.90000000e+00,1.78828294e+00,1.61883988e+00,8.66858383e-01,7.17484877e-01
"2019M10",2.75000000e+00,1.58000000e+00,2.14643792e+00,1.61054675e+00,7.62359459e-02,2.13037562e-01
"2019M11",2.75000000e+00,1.56000000e+00,2.87893219e+00,1.48661326e+00,6.12282252e-02,-2.75420993e-01
"2019M12",2.75000000e+00,1.55000000e+00,3.34882331e+00,1.53294125e+00,-1.70662821e+00,-9.68945313e-01
"2020M01",2.75000000e+00,1.59000000e+00,1.76869537e+00,1.56061771e+00,-7.28323566e-01,-1.33900550e+00
"2020M02",2.75000000e+00,1.58000000e+00,1.22832366e+00,1.65765882e+00,-1.49992943e+00,-1.07772384e+00
"2020M03",2.75000000e+00,8.00000000e-02,1.75293072e+00,1.48133734e+00,-7.73341725e+00,-1.31455093e+00
"2020M04",2.00000000e+00,5.00000000e-02,1.86180296e+00,9.55091324e-01,-1.24486650e+01,-1.24170925e+01
"2020M05",2.00000000e+00,5.00000000e-02,1.78696001e+00,9.61781931e-01,-1.29648198e+01,-1.02775052e+01
"2020M06",2.00000000e+00,8.00000000e-02,2.36093944e+00,9.33252325e-01,-1.06736988e+01,-8.58525448e+00
"2020M07",1.75000000e+00,1.00000000e-01,2.83771264e+00,1.17175731e+00,-6.53671894e+00,-8.41078904e+00
"2020M08",1.75000000e+00,9.00000000e-02,4.10217177e+00,1.37588760e+00,-4.20053183e+00,-7.44169348e+00
"2020M09",1.75000000e+00,9.00000000e-02,4.84620802e+00,1.45461976e+00,-2.55188050e+00,-7.04713492e+00
"2020M10",1.75000000e+00,9.00000000e-02,5.20661731e+00,1.37664586e+00,-1.09143331e+00,-6.83863281e+00
"2020M11",1.75000000e+00,9.00000000e-02,5.31893318e+00,1.41748928e+00,1.40808488e+00,-6.21860258e+00
"2020M12",1.75000000e+00,9.00000000e-02,4.71096610e+00,1.50507536e+00,6.51224487e+00,5.52249171e+00
"2021M01",1.75000000e+00,7.00000000e-02,5.10564503e+00,1.66661033e+00,6.98798842e+00,4.51531223e+00
"2021M02",1.75000000e+00,7.00000000e-02,5.82461415e+00,1.69827108e+00,8.13983394e+00,4.14835344e+00
"2021M03",1.75000000e+00,6.00000000e-02,5.67737637e+00,2.17697988e+00,8.46114368e+00,2.58760805e+00
"2021M04",1.75000000e+00,5.00000000e-02,5.07320485e+00,3.10971447e+00,6.95122935e+00,2.42024610e+00
"2021M05",1.75000000e+00,5.00000000e-02,5.04388868e+00,3.51421985e+00,4.95518249e+00,2.75518557e+00
"2021M06",1.75000000e+00,8.00000000e-02,3.83282070e+00,3.81416878e+00,3.04421324e+00,2.35911265e+00
"2021M07",1.75000000e+00,7.00000000e-02,3.74423986e+00,3.89090125e+00,3.26762610e+00,2.72558507e+00
"2021M08",1.75000000e+00,6.00000000e-02,3.55138538e+00,3.91439589e+00,7.57925815e-01,2.81621961e+00
"2021M09",1.75000000e+00,6.00000000e-02,3.60526409e+00,3.96421157e+00,1.11968039e+00,2.80130835e+00
"2021M10",1.75000000e+00,7.00000000e-02,2.91324806e+00,4.37251433e+00,1.41044884e+00,2.52831149e+00
"2021M11",1.75000000e+00,7.00000000e-02,2.84511382e+00,4.82045533e+00,7.46311825e-01,2.11281716e+00
"2021M12",1.75000000e+00,7.00000000e-02,3.02169822e+00,5.11148149e+00,1.20785409e+00,1.79473898e+00
"2022M01",1.75000000e+00,8.00000000e-02,2.82790938e+00,5.26533871e+00,7.73810049e-01,1.25210593e+00
"2022M02",1.75000000e+00,8.00000000e-02,2.93624498e+00,5.49531086e+00,2.65812117e-01,1.64617642e+00
"2022M03",1.75000000e+00,3.30000000e-01,4.08647059e+00,5.47690707e+00,9.48756217e-01,1.77975943e+00
"2022M04",1.75000000e+00,3.30000000e-01,4.51645519e+00,5.21014365e+00,1.30111927e+00,2.20103841e+00
"2022M05",2.00000000e+00,8.30000000e-01,5.65443927e+00,5.05580770e+00,1.17631140e+00,2.34614261e+00
"2022M06",2.25000000e+00,1.58000000e+00,7.28211265e+00,5.18659008e+00,5.50206071e-01,2.23353232e+00
"2022M07",2.25000000e+00,2.32000000e+00,8.02566147e+00,4.98628096e+00,2.59190111e-01,1.92199063e+00
"2022M08",2.75000000e+00,2.33000000e+00,8.50269869e+00,5.21801776e+00,4.45100386e-01,1.42677317e+00
"2022M09",3.00000000e+00,3.08000000e+00,8.64892053e+00,5.45504298e+00,4.37932739e-01,1.35308300e+00
"2022M10",3.00000000e+00,3.08000000e+00,9.26187101e+00,5.31611488e+00,3.62743282e-02,7.31957710e-01
"2022M11",3.75000000e+00,3.83000000e+00,8.77085752e+00,5.07001154e+00,-2.60034707e-01,2.42154702e-01
"2022M12",3.75000000e+00,4.33000000e+00,8.83431703e+00,4.83294960e+00,-1.59470559e-01,-1.55452184e-01
"2023M01",4.25000000e+00,4.33000000e+00,9.24923890e+00,4.82678630e+00,-5.87515122e-01,-2.42610610e-01
"2023M02",4.50000000e+00,4.57000000e+00,9.46064937e+00,4.74889080e+00,5.83200102e-01,-1.87653072e-01
"2023M03",4.50000000e+00,4.83000000e+00,8.35404789e+00,4.66134033e+00,1.02558560e+00,2.27577164e-02
"2023M04",4.75000000e+00,4.83000000e+00,7.98809370e+00,4.66776685e+00,3.11622317e-01,5.87864061e-01
"2023M05",5.00000000e+00,5.08000000e+00,6.33072627e+00,4.60102115e+00,7.47226464e-01,7.39876419e-01
"2023M06",5.00000000e+00,5.08000000e+00,4.81163464e+00,4.27366464e+00,1.90851261e+00,8.88361100e-01
"2023M07",5.00000000e+00,5.33000000e+00,4.43454791e+00,4.18382438e+00,1.25090548e+00,8.06353616e-01
"2023M08",5.00000000e+00,5.33000000e+00,4.37601357e+00,3.71175927e+00,4.09027713e-01,5.28871783e-01
"2023M09",5.00000000e+00,5.33000000e+00,4.58050228e+00,3.59172785e+00,4.88572014e-01,2.87665809e-01
"2023M10",5.00000000e+00,5.33000000e+00,4.86275892e+00,3.38441777e+00,-2.63249830e+00,1.06197791e-01
"2023M11",5.00000000e+00,5.33000000e+00,4.21053106e+00,3.17087482e+00,-1.56297931e+00,-1.81474496e-01
"2023M12",5.00000000e+00,5.33000000e+00,4.09199880e+00,2.99047568e+00,-1.20897826e+00,-4.50697630e-01
"2024M01",5.00000000e+00,5.33000000e+00,3.74265160e+00,3.01882520e+00,-1.83024375e-01,-4.68098990e-01
"2024M02",5.00000000e+00,5.33000000e+00,3.24711008e+00,2.88681218e+00,-6.89298966e-01,-5.15824716e-01
"2024M03",5.00000000e+00,5.33000000e+00,3.17735540e+00,2.93608394e+00,-1.07833931e+00,-1.65881538e-01
"2024M04",5.00000000e+00,5.33000000e+00,3.30226322e+00,2.84422652e+00,6.17601269e-01,2.25973390e-01
"2024M05",5.00000000e+00,5.33000000e+00,3.69025730e+00,2.63253800e+00,9.36519332e-01,4.41747769e-01
"2024M06",5.00000000e+00,5.33000000e+00,3.55281898e+00,2.59647462e+00,1.69452740e+00,4.84536077e-01
"2024M07",5.00000000e+00,5.33000000e+00,3.71276136e+00,2.62714590e+00,1.59337543e+00,3.43980496e-01
"2024M08",5.00000000e+00,5.33000000e+00,3.03025895e+00,2.68147064e+00,1.67533217e+00,2.49953207e-01
"2024M09",5.00000000e+00,4.83000000e+00,2.08436004e+00,2.61625860e+00,1.13002838e+00,2.25446926e-02
"2024M10",4.75000000e+00,4.83000000e+00,1.16194253e+00,NaN,NaN,-1.58297184e-01
